Student,Midterm,Final
1,72,70
2,95,100
3,83,88
4,85,75
5,65,73
6,82,86
7,84,85
8,74,69
9,74,76
10,82,73
11,81,71
12,75,80
13,78,72
14,78,83
15,72,68
16,73,83
17,75,76
18,79,69
19,72,76
20,75,79
21,77,74
22,71,80
23,78,70
24,83,93
25,84,78
26,71,81
27,81,73
28,82,88
29,79,83
30,71,69
31,73,77
32,89,87
33,74,74
34,75,78
35,93,96
36,74,84
37,88,90
38,83,89
39,90,100
40,82,82
41,79,85
42,62,60
43,73,70
44,88,88
45,76,80
46,76,86
47,76,68
48,80,84
49,84,92
50,84,74
51,91,98
52,70,64
53,76,78
54,74,79
55,68,76
56,80,88
57,87,94
58,92,86
59,84,87
60,79,75
61,80,75
62,91,84
63,74,77
64,69,62
65,88,92
66,84,79
67,83,82
68,87,81
69,82,89
70,72,63
71,97,87
72,88,91
73,70,71
74,83,78
75,92,97
76,94,92
77,63,56
78,83,91
79,81,78
80,84,94
81,78,71
82,84,93
83,91,88
84,78,88
85,71,76
86,77,79
87,78,78
88,70,74
89,86,89
90,79,85
91,70,60
92,75,78
93,80,84
94,75,66
95,77,80
96,74,65
